1	14:23:57.325	0.00714483	SZXinKenComRea	IRP_MJ_CREATE                       	COM13	SUCCESS	Port Opened	
2	14:23:57.325	0.00042443	SZXinKenComRea	IOCTL_SERIAL_SET_BAUD_RATE          	COM13	SUCCESS	Baud Rate: 2400	
3	14:23:57.325	0.00018904	SZXinKenComRea	IOCTL_SERIAL_CLR_RTS                	COM13	SUCCESS		
4	14:23:57.325	0.00017712	SZXinKenComRea	IOCTL_SERIAL_CLR_DTR                	COM13	SUCCESS		
5	14:23:57.325	0.00014435	SZXinKenComRea	IOCTL_SERIAL_SET_LINE_CONTROL       	COM13	SUCCESS	StopBits: 1, Parity: Even, DataBits: 8	
6	14:23:57.325	0.00000066	SZXinKenComRea	IOCTL_SERIAL_SET_CHARS              	COM13	SUCCESS	EofChar: 0x1A, ErrorChar: 0x3F, BreakChar: 0x3F, EventChar: 0x1A, XonChar: 0x11, XoffChar: 0x13	
7	14:23:57.325	0.00013905	SZXinKenComRea	IOCTL_SERIAL_SET_HANDFLOW           	COM13	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x4, XonLimit: 1024, XoffLimit: 1024	
8	14:23:57.325	0.00012912	SZXinKenComRea	IOCTL_SERIAL_SET_BAUD_RATE          	COM13	SUCCESS	Baud Rate: 2400	
9	14:23:57.325	0.00017116	SZXinKenComRea	IOCTL_SERIAL_CLR_RTS                	COM13	SUCCESS		
10	14:23:57.325	0.00011455	SZXinKenComRea	IOCTL_SERIAL_CLR_DTR                	COM13	SUCCESS		
11	14:23:57.325	0.00015395	SZXinKenComRea	IOCTL_SERIAL_SET_LINE_CONTROL       	COM13	SUCCESS	StopBits: 1, Parity: Even, DataBits: 8	
12	14:23:57.325	0.00000066	SZXinKenComRea	IOCTL_SERIAL_SET_CHARS              	COM13	SUCCESS	EofChar: 0x1A, ErrorChar: 0x3F, BreakChar: 0x3F, EventChar: 0x1A, XonChar: 0x11, XoffChar: 0x13	
